station_name,start_morning,end_morning,start_afternoon,end_afternoon,start_evening,end_evening,start_night,end_night
5 Corners Library,0.5,0.25,0.0,1.75,2.25,1.25,0.25,0.0
Astor Place,6.25,0.5,2.0,4.0,0.5,4.25,0.0,0.25
Baldwin at Montgomery,6.25,1.5,0.0,1.0,0.25,3.25,1.0,0.0
Bergen Ave,3.75,2.0,1.0,1.5,1.25,1.75,0.25,0.75
Brunswick & 6th,13.25,1.5,3.5,7.0,1.5,6.0,1.0,0.25
Brunswick St,14.75,1.75,4.0,5.0,2.0,7.25,0.0,0.25
Christ Hospital,3.25,0.0,0.5,0.25,0.25,1.25,0.0,0.25
City Hall,4.0,16.25,5.25,3.5,9.0,3.5,1.0,0.0
Columbus Drive,7.25,5.25,4.75,5.75,2.5,3.0,0.0,0.75
Communipaw & Berry Lane,1.25,1.0,0.5,0.25,0.5,0.25,0.0,0.25
Dey St,0.25,2.5,1.0,1.0,1.0,1.5,0.0,0.0
Dixon Mills,10.75,0.25,3.25,5.75,0.5,6.75,1.25,0.0
Essex Light Rail,6.75,7.25,2.75,2.5,2.0,2.25,0.75,0.0
Exchange Place,3.5,36.5,11.5,2.75,12.25,2.0,0.5,0.5
Fairmount Ave,5.75,0.0,0.25,0.0,0.25,2.5,0.25,0.0
Glenwood Ave,2.0,1.5,1.0,0.5,0.25,1.25,0.75,0.0
Grand St,7.25,3.0,1.5,2.0,0.5,2.25,0.0,0.0
Grove St PATH,14.5,86.25,32.0,18.75,49.25,9.75,0.5,4.5
Hamilton Park,30.25,4.5,3.0,10.75,3.0,15.5,1.5,0.5
Harborside,6.75,20.25,6.0,5.0,6.5,3.75,1.25,0.75
Heights Elevator,2.75,1.5,1.0,0.75,1.0,2.0,0.0,0.0
Hilltop,1.0,2.25,1.5,0.25,0.75,1.0,0.0,0.0
JC Medical Center,7.5,2.5,3.25,2.5,0.5,3.0,0.25,0.75
JCBS Depot,0.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0
Jackson Square,0.75,0.0,0.25,0.5,0.0,0.25,0.0,0.25
Jersey & 3rd,8.5,3.0,3.75,5.0,3.75,6.25,0.25,0.0
Jersey & 6th St,15.75,0.75,2.25,2.25,1.75,9.25,0.75,0.25
Journal Square,4.5,14.0,6.0,2.75,6.25,0.0,0.75,0.0
Lafayette Park,3.25,0.25,0.0,1.0,0.0,3.0,0.0,0.0
Leonard Gordon Park,4.5,0.25,0.25,1.75,0.0,1.25,0.25,0.5
Liberty Light Rail,4.5,1.75,0.25,3.0,1.75,4.5,0.5,0.0
Lincoln Park,3.25,0.25,1.0,1.5,0.0,2.5,0.75,0.25
Manila & 1st,3.5,8.75,2.0,1.75,7.5,2.5,0.25,0.5
Marin Light Rail,12.0,3.0,2.25,2.75,2.5,8.25,0.5,0.25
McGinley Square,8.0,1.25,2.5,1.0,2.5,5.5,0.75,0.0
Monmouth and 6th,11.25,1.5,3.0,3.75,2.0,11.75,1.0,0.0
Montgomery St,2.25,1.75,5.5,4.75,1.75,2.25,0.0,0.0
Morris Canal,13.25,0.5,2.0,5.0,1.25,5.5,0.0,0.25
Newark Ave,5.25,6.5,2.25,4.75,5.25,4.75,0.5,0.0
Newport PATH,5.75,16.0,11.75,5.0,8.75,2.5,0.0,0.75
Newport Pkwy,5.0,5.25,5.0,4.75,2.25,3.75,0.25,0.25
Oakland Ave,8.5,1.0,2.0,3.25,0.25,3.5,0.0,0.0
Paulus Hook,3.0,14.0,7.25,4.5,4.75,1.0,0.0,0.0
Pershing Field,8.25,0.75,1.0,4.0,0.0,2.75,0.5,0.25
Riverview Park,1.75,0.0,0.75,0.75,0.5,0.5,0.0,0.0
Sip Ave,4.75,29.5,15.0,6.25,16.0,3.75,1.25,3.25
Union St,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Van Vorst Park,11.25,1.75,4.25,7.5,2.5,3.75,0.25,0.75
W 15 St & 6 Ave,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Warren St,6.75,3.0,2.75,5.25,2.0,3.0,0.0,0.0
Washington St,3.75,8.75,2.0,1.75,3.25,3.5,0.0,0.25
York St,4.0,2.0,0.75,0.75,1.5,2.5,0.0,0.0
